Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,Generated Recipe - Paper
daves apple crisp sugar free,fruit	pie/tart	desserts,20 servings,10 c  sliced apples	-cornstarch	5 ts cinnamon	1 c  brown sugar substitute	2    to 3  tablespoons	1 c  graham cracker crumbs	1/2 c  brown sugar substitute	2 tb cinnamon	1/2 c  melted margarine,hours horseradish flour fruit out yogurt blend double and marshmallows crumb blend two eggs combine minutes light hours horseradish flour eggs blend double and to rise minutes scraping which ingredients made batte season blend yolks half eggs and corn medium beats blend <EOS>,chocolate eggs combine minutes glaze blend hours flour out let oven blend fold boiling over flour fruit mixture blend double and marshmallows rise chillies this pour made crumb blend hours flour out let oven blend to rise place glaze scraping except ingredients blend <EOS>,heat oven to degrees grease a baking dish and bake at degrees for minutes or until done remove from heat and set aside in a small bowl combine cornstarch and water stir in remaining ingredients and mix well chill until set <EOS>,heat the oil in a large skillet over medium heat add the onions and cook until the onions are softened about minutes add the spinach and cook until the spinach is softened about minutes add the stock and cook until the spinach is just wilted about minutes add the spinach and cook until the spinach is softened about minutes remove the fish and set aside in a large bowl combine the spinach and the butter in a large mixing bowl until the mixture is smooth and smooth <EOS>,put the cheese through a meat grinder food processor and etc using the finest blade combine the cheese in a mixing bowl with all other ingredients mix well chill in the refrigerator
oven cheese chowder,soup/stew	cheese/eggs,10 servings,"1/2 lb zucchini, cut into 1 inch	2 ts salt chunks                           1/4 ts pepper	2 md onions, chopped	1 ea clove garlic, minced	1 cn garbanzo beans, rinsed and	1 ts dried basil drained (15 oz.)                   1 ea bay leaf	1 cn diced tomatoes with liquid	1 c  monterey jack cheese (14 1/2 oz.)                       1 c  grated romano cheese	1 cn mexican style corn, drained	1 1/2 c  half and half cream (11 oz.)                                additional monterey jack	1 cn chicken broth (14 1/2 oz.)	-cheese (optional)",become and table blend flour fruit oil mixture if fold margarine enough if sugar if until if and paul blend cookie crumbs blend gradually flour margarine warm coated and hot combine margarine oven blend gradually margarine spray moist margarine warm coated and hot margarine comes blend gradually while margarine spray blend double and marshmallows scraping a pour blend <EOS>,foods margarine degress if t if and sugar blend only combined scraping slightly ingredients blend table and jelly diced hand t blend table and hours flour fruit mixture blend only bulk flour bourbon t batte fill blend roasting wok margarine dish moist fruit mixture and only bulk beaten batte fill blend break dish and blending wax bring fruit draw racks and break batte welloiled blend hours flour fruit out let oven blend to flour fruit place pieces eggs scraping mix ingredients blend corn mediumsized glass blend <EOS>,combine all ingredients in a small bowl mix well chill at least hours or overnight in a small bowl combine the blueberries apples and apples in a small bowl combine the blueberries and the apples mix well add the blueberries and mix well pour the syrup over the top of the pie plate and bake at degrees for minutes or until the brown randy rigg <EOS>,combine all ingredients in a large mixing bowl and mix well add the remaining ingredients and mix well and mix well <EOS>,in a small bowl beat butter and sugar until creamy fold in gingerroot or crystillized ginger salt and peaches until evenly distributed spoon into a small serving dish cover and refrigerate let stand at room temperature to minutes before serving
bulgur celery sage,nuts/grains,4 servings,"2 ts olive oil	1/2 ts dried thyme	1 sm onion(s), chopped	1/2 ts dried marjoram	2    stalks celery, chopped	1 3/4 c  beef stock	2    garlic clove(s), minced	1    bay leaf	1 c  bulgur	1 tb parsley, chopped	1/2 ts dried rubbed sage	salt and pepper to taste",,,,,
miniature spring rolls,appetizers	chinese,24 servings,3    dried black mushrooms	sliced	2 oz dried bean thread noodles	3    green onion -- sliced	1 sm carrot -- julienned	1/2 lb boneless skinless chicken	1 c  napa cabbage -- thinly	breasts	2 tb chicken broth	1/4 ts chinese five spice	1 tb oyster sauce	1 tb oil -- for frying	1/2 ts sesame oil	12    spring roll wrappers	2 ts cornstarch	oil -- for deep frying,two eggs combine minutes light hours margarine eggs combine minutes light eggs scraping dry combine liner ingredients blend flour fruit bananas mixture if fold margarine evenly if let stand if let equal if and until blend hot margarine bottom and cereal batte quart blend hot margarine boiling over and cookie crumbs blend gradually moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk strain blend <EOS>,fold squares over flour fruit airtight mixture blend cookie crumbs blend gradually moist trim tostada blend to rise minutes scraping heat ingredients blend corn mediumsized glass blend <EOS>,in a large skillet heat oil over medium heat add onion and saute until golden brown about minutes add the rice and seasonings and cook for minutes add the rice and salt pepper to taste and cook for minutes more add the remaining ingredients and bring to a boil reduce the heat and simmer for minutes more or until the vegetables are tender <EOS>,in a large pot add the wine and salt and pepper to taste simmer for minutes add the lentils and simmer for minutes remove the bay leaf and serve <EOS>,in a nonaluminum saucepan over high heat combine all ingredients stir well and bring to a boil reduce heat to low and simmer uncovered until the mixture thickens to hours transfer to jars or other containers with tightfitting lids let cool cover and refrigerate for up to weeks
orzo chicken broccoli,poultry	main dish,4 servings,"4 fl boneless chicken breast or	2 c  chicken stock, low sodium	thigh, cut into 1"" cubes	1/4 c  lemon juice	3 ts old bay seasoning	2 tb cornstarch	1 lb orzo pasta	1 ts oregano, dried	1 lb broccoli florets and stems	1/4 ts crushed red pepper	3    cloves garlic, minced	fresh ground black pepper",,,,,
wasabi mayonnaise,dress/stuff	japanese	pasta/rice	masterchefs,6 servings,"3    egg yolks	2 tb dijon mustard	1/2 ts salt	6 tb wasabi powder, mixed with a	i tablespoon lemon juice	-little water to make a	3 tb japanese rice vinegar or	-paste white wine vinegar               500 ml vegetable oil	2 tb soya sauce",,,,,
oyster forcemeat stuffing,dress/stuff	holiday	masterchefs,1 servings,"3 1/2 ea (92g) stale bread	1 ea egg-yolk	3 1/2 oz (100ml) milk	1 ts chopped parsley	12 ea shelled oysters, reserve	1 ea soak the bread in milk with juice                                   -a little water, then	1 3/4 ea (50g) butter	-squeeze dry.	g  rind of 1/2 lemon	2 ea put it into a saucepan and f ground mace                           -gradually add the oyster	1 pn of cayenne	-juice over a	salt",flour fruit oil bananas mixture if fold margarine boiling over if water margarine churn sauce if margarine churn sauce if margarine churn sauce if margarine churn sauce if margarine churn sauce if margarine churn sauce if margarine churn sauce if margarine churn sauce if margarine sauce if and margarine churn sauce blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping candies ingredients made batte margarine hickory sides whisk strain blend <EOS>,two eggs combine microwaving blend espresso fruit oil rolling oven cocoa rolling cover blend hot margarine third if bubbly if until if and paul blend cookie crumbs blend hot margarine boiling over blend registered combine fruit foods if corporation chocolate and souffle floured scraping candies ingredients blend hot margarine boiling over and souffle scraping slightly ingredients blend <EOS>,combine all ingredients in a small bowl whisk together the dressing ingredients and mix well pour the dressing over the fish and bake at f for minutes or until the rice is done <EOS>,combine all ingredients in a large bowl and let stand at room temperature for to hours or until ready to serve reheat <EOS>,toast almonds on a baking sheet at degrees about minutes or until golden brown combine sugar flour egg white butter salt and almond extract and stir until smooth fold in almonds until coated evenly divide batter into two six inch rounds and bake at for minutes turn the baking sheet a half turn midway through the baking time allow to cool for minutes then cut each round into to wedges allow to cool another minutes heat chocolate in a double boiler stirring constantly until smooth about minutes remove from heat and continue stirring until temperature drops to degrees dip inch of the edge of each cookie in the melted chocolate and let them sit for minutes
chicken broccoli,poultry	cheese/eggs	guestchefs,4 servings,"1    chicken, boned	1/2 lb mushrooms, fresh sliced	2 lb broccoli, frozen, steamed	1 lb velveta cheese",flour fruit oil mixture if fold margarine boiling over if water margarine that chopped and margarine coated blend gradually margarine spray moist margarine adding oven and to rise minutes scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,chocolate margarine coated flour fruit shavings made g eggs batte whisk strain blend hot margarine bubbly if sugar if until if paul if and bubbly blend raisins batte season blend hot margarine boiling over and registered combine fruit foods blend corporation chocolate combine fluffy and souffle scraping slightly ingredients blend cereal flour margarine bottom if and souffle batte jar blend hot margarine mealmaster and overnight combine raisins batte jar if shortening mugs ingredients blend hot margarine mealmaster and overnight combine raisins scraping rounded slightly ingredients blend hot margarine mealmaster and overnight combine raisins scraping rounded slightly ingredients blend hot margarine inside and margarine inside and cereal batte ghee speed blend hot margarine evenly if let stand if until and until blend cereal flour margarine bottom if center hot margarine evenly if until if and until blend cereal flour margarine bottom if center margarine boiling over blend registered combine fruit foods,melt butter in heavy skillet add onion and garlic cook until golden brown add the milk and stir until the mixture thickens and thickens add the sauce and cook stirring constantly until the mixture thickens and thickens add the sauce and stir to blend add the sauce and cook stirring constantly until the mixture thickens and thickens stirring occasionally add the lemon juice and salt and pepper to taste serve with the bread cubes <EOS>,in a large mixing bowl combine all the ingredients in a mixing bowl and let it sit in a little at least hour before serving <EOS>,slice bread horizontally into equal layers using an electric or serrated knife spread horseradish on first layer and top with roast beef and second bread layer spread mayonnaise on second layer and top with swiss cheese and third bread layer spread mustard on third layer and top with ham and fourth bread layer cover fourth layer with tomato slices bacon and fifth bread layer top fifth layer with american cheese onion and remaining bread layer combine remaining ingredients spread over top and sides of loaf place loaf on a baking sheet bake uncovered at degrees for minutes slice into wedges with an electric knife servings
lemon-oregano chicken,poultry	main dish,1 servings,"1 1/2 lb meaty chicken pieces,	1 tb snipped fresh oregano or 1 skinned (up to 2 pounds)                -teaspoon dried	1/4 ts salt	-oregano, crushed	1/8 ts ground black pepper	1/8 ts ground red pepper	1    clove garlic, minced	1/4 c  dry white wine or chicken	1    lemon, thinly sliced,	-broth divided                            1 md green sweet pepper, cut into	1 lg tomato, peeled and chopped,	-strips divided                            1 md red sweet pepper, cut into	1/2 c  pitted ripe olives	-strips	1/4 c  chopped onion	-fresh oregano sprigs	1/4 c  snipped fresh parsley	-(optional)",flour fruit bananas mixture if fold margarine evenly if let stand if until if and paul flour fruit mixture blend gradually margarine spray moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk strain blend corn medium part blend <EOS>,flour fruit oil hershey if fold margarine sugar if crescents if and until blend souffle scraping slightly ingredients blend hot margarine mealmaster and raisins batte season blend table margarine sauceblend brownies half margarine chocolate and cereal flour margarine sugar blend hot margarine mealmaster and souffle scraping slightly ingredients blend hot margarine mealmaster and overnight combine raisins batte season blend table margarine brownies half margarine chocolate and cereal flour margarine boiling over blend souffle scraping slightly ingredients blend creamed cocoa as cream blend <EOS>,in a small bowl combine all the ingredients and mix well chill before serving <EOS>,combine all ingredients in a mixing bowl and mix well add the chicken stock and chicken cover and simmer for minutes or until the chicken is cooked and chicken is cooked through serve hot <EOS>,combine oil and eggs in bowl and beat until light and frothy beat in milk or water then beat in flour and optional salt until well blended pour batter into a pitcher cover and refrigerate for to minutes until flour absorbs liquid and thickens place an or inch pan over medium heat dip a paper towel into some vegetable oil and lightly grease pan when it is very hot quickly pour batter into pan swirl very quickly to cover entire surface and rapidly back excess into pitcher shake crepe on to clean tea or paper towel cover with plastic wrap or damp towel until ready to use place wax paper between layers wrap well in foil
caribou soup,soup/stew	game,8 servings,"1 lb caribou	4    small potatoes, quartered	oil; for browning meat	1    carrot; peeled and sliced	8 c  water or stock	1    parsnip: peeled and diced	2    bay leaves	1/2 c  turnip; peeled and diced	4    juniper berries	1/2 c  cabbage; shredded	2    cloves	2    celery ribs; chopped	1/2 c  white wine	2 md banana peppers, chopped	1 tb worcestershire sauce	1/2 c  green peas",,,,,
